soc_code,job_title,automation_risk,annual_mean_salary,total_employment,creativity_level,manual_dexterity,critical_thinking
43-3011,Bill and Account Collectors,0.95,37620.0,298960,2.62,0.5,3.5
43-3021,Billing and Posting Clerks,0.96,37570.0,485220,1.75,0.5,3.0
43-3031,Bookkeeping; Accounting; and Auditing Clerks,0.98,40220.0,1566960,1.75,1.75,3.25
43-3041,Gaming Cage Workers,0.39,28120.0,18810,1.88,2.12,3.25
43-3051,Payroll and Timekeeping Clerks,0.97,43580.0,159650,2.12,1.0,3.12
43-3061,Procurement Clerks,0.98,41980.0,72120,2.25,0.62,3.75
43-3071,Tellers,0.98,28060.0,496760,2.25,2.12,3.25
43-4011,Brokerage Clerks,0.98,52380.0,59820,2.38,1.62,3.62
43-4021,Correspondence Clerks,0.86,37660.0,6780,2.75,0.12,3.75
43-4031,Court; Municipal; and License Clerks,0.46,39160.0,128620,2.0,1.12,3.25
43-4041,Credit Authorizers; Checkers; and Clerks,0.97,39320.0,37680,2.12,0.38,3.38
43-4051,Customer Service Representatives,0.55,35170.0,2707040,2.62,1.38,3.5
43-4061,Eligibility Interviewers; Government Programs,0.7,43550.0,135940,2.62,1.25,3.62
43-4071,File Clerks,0.97,31260.0,130950,2.5,2.25,3.0
43-4081,Hotel; Motel; and Resort Desk Clerks,0.94,23530.0,248440,2.38,2.0,3.5
43-4111,Interviewers; Except Eligibility and Loan,0.94,33640.0,186030,2.25,1.0,3.25
43-4121,Library Assistants; Clerical,0.95,27450.0,98560,2.0,2.12,2.88
43-4131,Loan Interviewers and Clerks,0.92,40300.0,224340,2.75,0.38,4.0
43-4141,New Accounts Clerks,0.99,36480.0,41630,1.75,1.5,3.5
43-4151,Order Clerks,0.98,35160.0,176850,2.0,1.12,3.5
43-4161,Human Resources Assistants; Except Payroll and Timekeeping,0.9,40100.0,137150,2.25,0.0,3.62
43-4171,Receptionists and Information Clerks,0.96,29120.0,997770,2.0,1.62,3.0
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.61,38050.0,146350,2.75,2.0,3.62
43-5011,Cargo and Freight Agents,0.99,44250.0,88920,2.5,1.19,3.5
43-5021,Couriers and Messengers,0.94,29920.0,74120,1.88,2.75,2.62
43-5031,Police; Fire; and Ambulance Dispatchers,0.49,41070.0,95170,2.88,2.12,3.88
43-5032,Dispatchers; Except Police; Fire; and Ambulance,0.96,41190.0,197910,2.75,1.38,3.75
43-5041,Meter Readers; Utilities,0.85,41890.0,34070,2.0,2.38,2.88
43-5051,Postal Service Clerks,0.95,48360.0,82030,1.88,2.88,3.25
43-5052,Postal Service Mail Carriers,0.68,50610.0,328950,1.38,3.0,2.75
43-5053,Postal Service Mail Sorters; Processors; and Processing Machine Operators,0.79,49710.0,110770,1.62,3.25,2.62
43-5061,Production; Planning; and Expediting Clerks,0.88,49050.0,321780,2.62,1.62,3.62
43-5071,Shipping; Receiving; and Traffic Clerks,0.98,33150.0,676990,2.12,2.88,3.0
43-5111,Weighers; Measurers; Checkers; and Samplers; Recordkeeping,0.95,31080.0,74460,2.12,2.38,3.0
43-6011,Executive Secretaries and Executive Administrative Assistants,0.86,57910.0,631610,3.0,1.0,3.75
43-6012,Legal Secretaries,0.98,47900.0,191200,2.25,1.12,3.0
43-6013,Medical Secretaries,0.81,35060.0,556820,2.0,1.38,3.0
43-6014,Secretaries and Administrative Assistants; Except Legal; Medical; and Executive,0.96,36140.0,2295510,2.0,1.38,3.62
43-9021,Data Entry Keyers,0.99,31640.0,194810,2.0,1.75,2.88
43-9022,Word Processors and Typists,0.81,39970.0,67230,1.38,1.62,2.62
43-9031,Desktop Publishers,0.16,44380.0,13090,3.88,2.5,3.88
43-9041,Insurance Claims and Policy Processing Clerks,0.98,40780.0,274350,2.12,1.0,3.38
43-9051,Mail Clerks and Mail Machine Operators; Except Postal Service,0.94,30580.0,91530,2.0,3.0,2.88
43-9061,Office Clerks; General,0.96,33010.0,2955550,2.0,1.62,3.0
43-9071,Office Machine Operators; Except Computer,0.92,32390.0,58160,2.12,2.75,2.62
43-9081,Proofreaders and Copy Markers,0.84,39640.0,11430,1.62,1.0,3.0
43-9111,Statistical Assistants,0.66,48300.0,10900,3.12,1.0,3.88
45-1011,First-Line Supervisors of Farming; Fishing; and Forestry Workers,0.57,48820.0,19550,3.0,2.75,3.75
45-2011,Agricultural Inspectors,0.94,44260.0,14710,2.5,2.12,4.0
45-2021,Animal Breeders,0.95,42340.0,1270,1.88,2.75,3.25
45-2041,Graders and Sorters; Agricultural Products,0.41,24280.0,38780,0.62,3.12,2.25
45-4011,Forest and Conservation Workers,0.87,31200.0,7170,2.12,3.0,3.0
45-4021,Fallers,0.76,42900.0,5370,1.88,3.0,3.0
45-4022,Logging Equipment Operators,0.79,38880.0,27250,2.12,3.12,2.75
45-4023,Log Graders and Scalers,0.97,38150.0,3020,2.12,2.75,3.0
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,0.17,68040.0,538220,3.12,2.94,3.5
47-2011,Boilermakers,0.68,62200.0,16660,2.0,3.0,3.0
47-2021,Brickmasons and Blockmasons,0.82,53440.0,64370,2.12,3.25,3.0
47-2022,Stonemasons,0.89,43650.0,13190,2.62,3.62,3.25
47-2031,Carpenters,0.72,48340.0,676980,3.0,4.0,3.62
47-2041,Carpet Installers,0.87,44310.0,25660,2.12,2.88,2.88
47-2042,Floor Layers; Except Carpet; Wood; and Hard Tiles,0.79,42370.0,10340,2.13,3.13,2.88
47-2043,Floor Sanders and Finishers,0.87,38890.0,4590,2.0,2.88,2.38
47-2044,Tile and Marble Setters,0.75,44770.0,36830,2.88,3.0,3.12
47-2051,Cement Masons and Concrete Finishers,0.94,43720.0,173920,2.0,3.38,2.38
47-2053,Terrazzo Workers and Finishers,0.88,45990.0,3420,2.0,3.38,2.38
47-2061,Construction Laborers,0.88,37890.0,912100,2.0,3.75,2.62
47-2071,Paving; Surfacing; and Tamping Equipment Operators,0.83,43800.0,51880,1.62,2.88,2.88
47-2072,Pile-Driver Operators,0.82,61740.0,3570,1.88,3.0,3.0
47-2073,Operating Engineers and Other Construction Equipment Operators,0.95,50560.0,356750,2.12,3.25,3.0
47-2081,Drywall and Ceiling Tile Installers,0.79,47400.0,93180,2.12,3.25,2.62
47-2082,Tapers,0.62,53790.0,18480,1.62,3.25,2.0
47-2111,Electricians,0.15,56650.0,607120,3.0,3.25,3.75
47-2121,Glaziers,0.73,47260.0,47140,2.0,3.12,3.0
47-2131,Insulation Workers; Floor; Ceiling; and Wall,0.83,39490.0,29500,2.12,3.12,2.75
47-2132,Insulation Workers; Mechanical,0.64,51100.0,27270,2.0,3.0,3.0
47-2141,Painters; Construction and Maintenance,0.75,41510.0,217280,2.0,3.0,3.0
47-2142,Paperhangers,0.87,36470.0,3190,1.75,3.25,2.38
47-2151,Pipelayers,0.62,42860.0,39620,2.0,3.0,2.88
47-2152,Plumbers; Pipefitters; and Steamfitters,0.35,56030.0,411870,2.81,3.125,3.5
47-2161,Plasterers and Stucco Masons,0.84,44070.0,22810,2.12,3.5,2.62
47-2171,Reinforcing Iron and Rebar Workers,0.9,53600.0,20020,2.0,3.38,2.88
47-2181,Roofers,0.9,42080.0,116410,2.12,3.38,2.88
47-2211,Sheet Metal Workers,0.82,51080.0,134450,2.25,3.12,3.0
47-2221,Structural Iron and Steel Workers,0.83,56040.0,69440,2.38,3.88,3.0
47-3011,HelpersBrickmasons; Blockmasons; Stonemasons; and Tile and Marble Setters,0.83,33610.0,23950,1.75,3.0,2.38
47-3012,HelpersCarpenters,0.92,30200.0,35890,2.38,2.88,2.75
47-3013,HelpersElectricians,0.74,30980.0,71890,2.12,3.75,3.0
47-3014,HelpersPainters; Paperhangers; Plasterers; and Stucco Masons,0.94,28760.0,10780,1.88,2.88,2.25
47-3015,HelpersPipelayers; Plumbers; Pipefitters; and Steamfitters,0.57,30640.0,54080,2.0,2.88,2.38
47-3016,HelpersRoofers,0.72,28890.0,10190,1.88,3.25,2.0
47-4011,Construction and Building Inspectors,0.63,61250.0,94960,3.0,1.88,3.88
47-4021,Elevator Installers and Repairers,0.39,76860.0,22240,2.75,3.0,3.25
47-4031,Fence Erectors,0.92,36380.0,21500,1.75,3.25,2.88
47-4041,Hazardous Materials Removal Workers,0.53,45500.0,44280,2.62,3.12,3.38
47-4051,Highway Maintenance Workers,0.87,39540.0,143320,2.0,3.12,2.75
47-4061,Rail-Track Laying and Maintenance Equipment Operators,0.89,52810.0,14250,2.0,3.0,2.88
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,0.83,38870.0,26320,2.0,3.12,3.0
47-4091,Segmental Pavers,0.83,34160.0,1720,2.75,3.0,3.0
47-5011,Derrick Operators; Oil and Gas,0.8,51140.0,11580,2.0,3.63,3.12
47-5012,Rotary Drill Operators; Oil and Gas,0.53,57140.0,17400,2.63,3.38,3.25
47-5013,Service Unit Operators; Oil; Gas; and Mining,0.93,53520.0,42890,2.38,3.12,3.25
47-5041,Continuous Mining Machine Operators,0.54,52650.0,12030,2.25,3.38,3.12
47-5051,Rock Splitters; Quarry,0.96,34860.0,3770,1.88,3.38,2.62
47-5071,Roustabouts; Oil and Gas,0.68,40480.0,51290,2.12,3.0,2.25
47-5081,HelpersExtraction Workers,0.37,37160.0,17660,2.25,3.25,2.88
49-1011,First-Line Supervisors of Mechanics; Installers; and Repairers,0.003,66730.0,453330,3.38,3.0,3.88
49-2011,Computer; Automated Teller; and Office Machine Repairers,0.74,39410.0,102170,2.88,3.12,3.12
49-2021,Radio; Cellular; and Tower Equipment Installers and Repairs,0.93,53620.0,14120,2.88,2.88,3.12
49-2022,Telecommunications Equipment Installers and Repairers; Except Line Installers,0.36,54520.0,228430,3.0,3.25,3.75
49-2091,Avionics Technicians,0.7,61390.0,17330,2.75,3.25,3.75
49-2092,Electric Motor; Power Tool; and Related Repairers,0.76,44720.0,17050,2.88,3.75,3.38
49-2093,Electrical and Electronics Installers and Repairers; Transportation Equipment,0.91,59840.0,13960,2.25,3.12,3.0
49-2094,Electrical and Electronics Repairers; Commercial and Industrial Equipment,0.41,56990.0,67390,3.0,3.75,3.75
49-2095,Electrical and Electronics Repairers; Powerhouse; Substation; and Relay,0.38,74540.0,23060,3.0,3.12,3.38
49-2096,Electronic Equipment Installers and Repairers; Motor Vehicles,0.61,34200.0,11750,2.88,3.25,3.12
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,0.65,39340.0,25550,2.88,3.0,3.5
49-2098,Security and Fire Alarm Systems Installers,0.82,45660.0,67700,2.75,3.12,3.5
49-3011,Aircraft Mechanics and Service Technicians,0.71,61190.0,128570,2.88,4.0,4.12
49-3021,Automotive Body and Related Repairers,0.91,45180.0,143940,2.38,3.25,3.0
49-3022,Automotive Glass Installers and Repairers,0.55,36140.0,18610,2.0,3.0,2.75
49-3023,Automotive Service Technicians and Mechanics,0.59,41400.0,647380,3.0,3.75,3.75
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,0.73,46710.0,254280,2.75,3.25,3.38
49-3041,Farm Equipment Mechanics and Service Technicians,0.75,39310.0,35110,2.12,3.5,3.62
49-3042,Mobile Heavy Equipment Mechanics; Except Engines,0.4,50810.0,123570,2.88,4.0,3.38
49-3043,Rail Car Repairers,0.88,53590.0,22090,2.12,3.75,3.38
49-3051,Motorboat Mechanics and Service Technicians,0.66,40860.0,20260,2.0,3.0,3.12
49-3052,Motorcycle Mechanics,0.79,37040.0,16000,3.0,3.75,3.12
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,0.93,35320.0,33020,2.12,3.12,3.0
49-3091,Bicycle Repairers,0.94,28520.0,12560,2.38,3.38,3.0
49-3092,Recreational Vehicle Service Technicians,0.59,38040.0,13520,2.62,3.12,3.5
49-3093,Tire Repairers and Changers,0.7,27150.0,109350,2.0,3.12,2.12
49-9011,Mechanical Door Repairers,0.91,40420.0,19840,2.0,3.38,3.12
49-9012,Control and Valve Installers and Repairers; Except Mechanical Door,0.63,56180.0,45740,2.75,3.12,3.12
49-9021,Heating; Air Conditioning; and Refrigeration Mechanics and Installers,0.65,48320.0,294730,2.62,3.12,3.75
49-9031,Home Appliance Repairers,0.72,40390.0,33480,2.12,3.38,3.25
49-9041,Industrial Machinery Mechanics,0.67,51890.0,334490,2.88,3.62,3.5
49-9043,Maintenance Workers; Machinery,0.86,46000.0,89630,2.0,3.0,3.0
49-9044,Millwrights,0.59,53950.0,39670,2.5,4.0,3.0
49-9045,Refractory Materials Repairers; Except Brickmasons,0.82,47000.0,1540,1.88,3.25,3.0
49-9051,Electrical Power-Line Installers and Repairers,0.097,67160.0,117670,2.75,3.38,3.0
49-9052,Telecommunications Line Installers and Repairers,0.49,54700.0,100080,2.12,3.12,3.0
49-9061,Camera and Photographic Equipment Repairers,0.97,43920.0,3760,2.62,3.25,3.38
49-9062,Medical Equipment Repairers,0.27,50910.0,43370,2.88,3.12,3.75
49-9063,Musical Instrument Repairers and Tuners,0.91,37690.0,7980,2.75,3.88,3.62
49-9064,Watch Repairers,0.99,39720.0,1620,2.62,3.12,3.0
49-9071,Maintenance and Repair Workers; General,0.64,39360.0,1332480,2.38,3.38,3.12
49-9091,Coin; Vending; and Amusement Machine Servicers and Repairers,0.94,34860.0,33600,2.0,3.12,2.88
49-9092,Commercial Divers,0.18,53990.0,3370,2.88,3.12,3.75
49-9094,Locksmiths and Safe Repairers,0.77,42180.0,18640,2.12,3.12,3.12
49-9095,Manufactured Building and Mobile Home Installers,0.18,31030.0,3200,2.88,3.5,3.25
49-9096,Riggers,0.89,49030.0,21020,2.25,3.12,3.0
49-9097,Signal and Track Switch Repairers,0.9,62710.0,8680,2.0,3.38,3.38
49-9098,HelpersInstallation; Maintenance; and Repair Workers,0.79,29370.0,118720,2.0,3.12,2.75
51-1011,First-Line Supervisors of Production and Operating Workers,0.016,61450.0,610480,3.62,2.88,3.75
51-2011,Aircraft Structure; Surfaces; Rigging; and Systems Assemblers,0.79,52530.0,42010,2.5,3.25,3.12
51-2021,Coil Winders; Tapers; and Finishers,0.73,35340.0,14090,0.88,3.12,2.88
51-2022,Electrical and Electronic Equipment Assemblers,0.95,33700.0,218530,2.0,3.12,3.0
51-2023,Electromechanical Equipment Assemblers,0.97,35410.0,45540,2.0,3.25,2.88
51-2031,Engine and Other Machine Assemblers,0.82,43090.0,38150,2.0,3.25,3.0
51-2041,Structural Metal Fabricators and Fitters,0.41,40000.0,77270,1.12,3.0,2.38
51-2092,Team Assemblers,0.97,32550.0,1112780,2.12,3.12,2.88
51-3011,Bakers,0.89,27110.0,180450,2.88,3.0,2.88
51-3021,Butchers and Meat Cutters,0.93,31740.0,133880,2.0,3.25,3.0
51-3022,Meat; Poultry; and Fish Cutters and Trimmers,0.94,25510.0,149800,2.12,2.75,2.88
51-3023,Slaughterers and Meat Packers,0.6,27040.0,80780,0.88,3.0,1.88
51-3091,Food and Tobacco Roasting; Baking; and Drying Machine Operators and Tenders,0.91,30970.0,20080,2.12,3.0,3.0
51-3092,Food Batchmakers,0.7,30130.0,148540,2.0,2.88,2.88
51-3093,Food Cooking Machine Operators and Tenders,0.61,30330.0,36520,1.5,2.5,2.38
51-4021,Extruding and Drawing Machine Setters; Operators; and Tenders; Metal and Plastic,0.91,35340.0,71960,1.62,3.0,2.88
51-4022,Forging Machine Setters; Operators; and Tenders; Metal and Plastic,0.93,38710.0,19160,2.0,3.0,3.0
51-4023,Rolling Machine Setters; Operators; and Tenders; Metal and Plastic,0.83,41900.0,29060,2.12,3.0,3.0
51-4031,Cutting; Punching; and Press Machine Setters; Operators; and Tenders; Metal and Plastic,0.78,34210.0,192800,2.0,3.0,3.0
51-4032,Drilling and Boring Machine Tool Setters; Operators; and Tenders; Metal and Plastic,0.94,38880.0,12290,2.0,3.12,3.0
51-4033,Grinding; Lapping; Polishing; and Buffing Machine Tool Setters; Operators; and Tenders; Metal and Plastic,0.95,34920.0,74600,1.88,3.12,2.75
51-4034,Lathe and Turning Machine Tool Setters; Operators; and Tenders; Metal and Plastic,0.84,39630.0,33850,2.0,3.12,2.75
51-4035,Milling and Planing Machine Setters; Operators; and Tenders; Metal and Plastic,0.98,41180.0,17560,2.0,3.25,3.0
51-4041,Machinists,0.65,43220.0,391120,2.88,3.12,3.12
51-4051,Metal-Refining Furnace Operators and Tenders,0.88,41840.0,17730,2.0,3.25,3.0
51-4052,Pourers and Casters; Metal,0.87,37300.0,8560,1.88,3.0,3.0
51-4061,Model Makers; Metal and Plastic,0.93,50360.0,6250,2.88,3.38,3.25
51-4062,Patternmakers; Metal and Plastic,0.9,44490.0,3420,2.62,3.0,3.0
51-4071,Foundry Mold and Coremakers,0.67,36030.0,12810,1.38,3.62,2.5
51-4072,Molding; Coremaking; and Casting Machine Setters; Operators; and Tenders; Metal and Plastic,0.95,32660.0,145560,2.25,3.0,2.62
51-4081,Multiple Machine Tool Setters; Operators; and Tenders; Metal and Plastic,0.91,36190.0,117300,2.12,3.38,3.12
51-4111,Tool and Die Makers,0.84,51610.0,72210,2.62,3.12,3.12
51-4121,Welders; Cutters; Solderers; and Brazers,0.94,42450.0,382730,2.12,2.88,2.38
51-4122,Welding; Soldering; and Brazing Machine Setters; Operators; and Tenders,0.61,38380.0,46920,1.88,3.12,3.0
51-4191,Heat Treating Equipment Setters; Operators; and Tenders; Metal and Plastic,0.91,39010.0,19780,1.88,3.12,3.0
51-4192,Layout Workers; Metal and Plastic,0.84,47720.0,9070,2.25,3.12,3.12
51-4193,Plating and Coating Machine Setters; Operators; and Tenders; Metal and Plastic,0.92,33690.0,35570,2.25,3.25,2.75
51-4194,Tool Grinders; Filers; and Sharpeners,0.88,38860.0,9550,2.0,3.62,2.75
51-5111,Prepress Technicians and Workers,0.97,40640.0,33340,3.0,2.75,3.0
51-5112,Printing Press Operators,0.83,37460.0,169910,2.38,3.12,3.12
51-5113,Print Binding and Finishing Workers,0.95,33270.0,52730,2.38,3.12,3.0
51-6011,Laundry and Dry-Cleaning Workers,0.71,23210.0,207710,1.75,2.88,2.38
51-6021,Pressers; Textile; Garment; and Related Materials,0.81,22270.0,45150,1.25,3.0,2.25
51-6031,Sewing Machine Operators,0.89,25830.0,139500,1.25,3.25,2.12
51-6041,Shoe and Leather Workers and Repairers,0.52,26040.0,7780,1.5,3.12,2.88
51-6042,Shoe Machine Operators and Tenders,0.97,26530.0,3500,1.88,3.0,2.5
51-6051,Sewers; Hand,0.99,25630.0,6540,2.25,3.88,2.12
51-6052,Tailors; Dressmakers; and Custom Sewers,0.84,30670.0,21660,3.0,3.25,3.0
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,0.97,28480.0,10860,2.0,3.12,2.75
51-6062,Textile Cutting Machine Setters; Operators; and Tenders,0.95,27860.0,15040,2.0,3.0,2.75
51-6063,Textile Knitting and Weaving Machine Setters; Operators; and Tenders,0.73,28380.0,21550,1.5,3.12,2.25
51-6064,Textile Winding; Twisting; and Drawing Out Machine Setters; Operators; and Tenders,0.96,28110.0,30340,2.0,3.38,3.0
51-6091,Extruding and Forming Machine Setters; Operators; and Tenders; Synthetic and Glass Fibers,0.88,35420.0,19340,2.12,3.25,3.0
51-6092,Fabric and Apparel Patternmakers,0.0049,48460.0,5310,3.88,2.88,3.38
51-6093,Upholsterers,0.39,34640.0,32520,3.0,3.88,3.12
51-7011,Cabinetmakers and Bench Carpenters,0.92,34800.0,97980,2.88,3.88,3.0
51-7021,Furniture Finishers,0.87,32330.0,17370,2.88,3.75,3.12
51-7031,Model Makers; Wood,0.96,47480.0,1040,3.0,3.25,3.0
51-7032,Patternmakers; Wood,0.91,47850.0,970,2.5,4.0,3.12
51-7041,Sawing Machine Setters; Operators; and Tenders; Wood,0.86,29960.0,50640,1.75,3.0,2.75
51-7042,Woodworking Machine Setters; Operators; and Tenders; Except Sawing,0.97,29850.0,76130,2.0,3.25,2.88
51-8011,Nuclear Power Reactor Operators,0.95,91370.0,7170,3.0,2.0,4.0
51-8012,Power Distributors and Dispatchers,0.64,81500.0,11380,2.75,1.75,3.75
51-8013,Power Plant Operators,0.85,73800.0,35010,2.5833333333333335,3.0400000000000005,3.33
51-8021,Stationary Engineers and Boiler Operators,0.89,61410.0,33720,2.25,3.12,3.12
51-8031,Water and Wastewater Treatment Plant and System Operators,0.61,47930.0,115840,2.38,3.0,3.0
51-8091,Chemical Plant and System Operators,0.85,59430.0,33300,2.0,3.0,3.5
51-8092,Gas Plant Operators,0.78,67980.0,17350,2.75,2.88,3.25
51-8093,Petroleum Pump System Operators; Refinery Operators; and Gaugers,0.71,67870.0,41630,2.38,3.0,3.5
51-8099,Plant and System Operators; All Other,0.86,55340.0,11970,2.75,3.25,3.12
51-9011,Chemical Equipment Operators and Tenders,0.76,50300.0,73840,2.0,3.0,3.0
51-9012,Separating; Filtering; Clarifying; Precipitating; and Still Machine Setters; Operators; and Tenders,0.88,41450.0,47160,2.12,3.0,3.0
51-9021,Crushing; Grinding; and Polishing Machine Setters; Operators; and Tenders,0.97,36050.0,29830,1.75,3.12,3.0
51-9022,Grinding and Polishing Workers; Hand,0.97,30860.0,26670,2.0,3.38,2.62
51-9023,Mixing and Blending Machine Setters; Operators; and Tenders,0.83,37630.0,130480,2.0,3.0,2.88
51-9031,Cutters and Trimmers; Hand,0.64,29580.0,14250,1.75,3.12,2.12
51-9032,Cutting and Slicing Machine Setters; Operators; and Tenders,0.86,34000.0,61330,2.0,3.12,2.75
51-9041,Extruding; Forming; Pressing; and Compacting Machine Setters; Operators; and Tenders,0.93,34370.0,71260,2.0,3.12,2.75
51-9051,Furnace; Kiln; Oven; Drier; and Kettle Operators and Tenders,0.37,37600.0,19520,1.12,2.88,3.0
51-9061,Inspectors; Testers; Sorters; Samplers; and Weighers,0.98,40340.0,518950,2.0,3.0,3.25
51-9071,Jewelers and Precious Stone and Metal Workers,0.95,42310.0,26480,2.935,3.06,3.31
51-9081,Dental Laboratory Technicians,0.97,40760.0,37110,2.75,3.12,3.38
51-9082,Medical Appliance Technicians,0.45,39880.0,14570,2.88,3.25,3.75
51-9083,Ophthalmic Laboratory Technicians,0.97,34220.0,28570,1.88,3.38,2.88
51-9111,Packaging and Filling Machine Operators and Tenders,0.98,30910.0,386520,2.25,3.5,2.25
51-9123,Painting; Coating; and Decorating Workers,0.92,32040.0,15450,2.0,2.88,2.62
51-9141,Semiconductor Processors,0.88,37890.0,24430,2.13,3.13,2.88
51-9151,Photographic Process Workers and Processing Machine Operators,0.99,31740.0,26430,2.75,2.75,3.12
51-9191,Adhesive Bonding Machine Operators and Tenders,0.95,34610.0,16940,1.75,3.0,2.75
51-9192,Cleaning; Washing; and Metal Pickling Equipment Operators and Tenders,0.81,30590.0,17860,1.5,2.88,2.12
51-9193,Cooling and Freezing Equipment Operators and Tenders,0.93,32100.0,8170,2.38,3.12,3.25
51-9194,Etchers and Engravers,0.98,34390.0,9520,2.5,3.38,3.12
51-9195,Molders; Shapers; and Casters; Except Metal and Plastic,0.9,32590.0,39450,2.8125,3.5,2.9050000000000002
51-9196,Paper Goods Machine Setters; Operators; and Tenders,0.67,38570.0,93100,2.12,3.0,2.88
51-9197,Tire Builders,0.94,42230.0,22280,2.0,3.5,2.5
51-9198,HelpersProduction Workers,0.66,26930.0,429890,1.88,3.12,2.0
53-2011,Airline Pilots; Copilots; and Flight Engineers,0.18,152770.0,81520,3.0,3.25,4.12
53-2012,Commercial Pilots,0.55,86260.0,38980,3.0,3.12,4.0
53-2021,Air Traffic Controllers,0.11,118200.0,23240,3.5,2.0,4.12
53-2022,Airfield Operations Specialists,0.71,52380.0,8760,3.0,2.25,3.88
53-2031,Flight Attendants,0.35,51620.0,113390,2.12,2.75,3.62
53-3011,Ambulance Drivers and Attendants; Except Emergency Medical Technicians,0.25,25600.0,17300,2.0,2.88,3.38
53-3031,Driver/Sales Workers,0.98,28440.0,426310,2.0,2.88,3.38
53-3032,Heavy and Tractor-Trailer Truck Drivers,0.79,43590.0,1704520,1.75,3.0,2.88
53-3033,Light Truck or Delivery Services Drivers,0.69,34790.0,858710,1.88,2.88,2.75
53-4011,Locomotive Engineers,0.96,61020.0,39900,2.0,3.0,3.0
53-4013,Rail Yard Engineers; Dinkey Operators; and Hostlers,0.91,52320.0,4530,2.0,3.0,3.0
53-4031,Railroad Conductors and Yardmasters,0.83,58220.0,42880,2.75,2.62,3.62
53-4041,Subway and Streetcar Operators,0.86,62380.0,12350,1.88,3.0,3.25
53-5011,Sailors and Marine Oilers,0.83,46170.0,32530,2.0,3.25,3.0
53-5021,Captains; Mates; and Pilots of Water Vessels,0.27,81520.0,36720,2.62,3.12,3.25
53-5022,Motorboat Operators,0.62,43340.0,3290,2.5,3.12,3.38
53-5031,Ship Engineers,0.041,74120.0,9750,3.0,3.0,3.88
53-6011,Bridge and Lock Tenders,0.97,46680.0,3510,2.12,2.5,3.0
53-6021,Parking Lot Attendants,0.87,23250.0,146350,1.75,2.5,2.75
53-6031,Automotive and Watercraft Service Attendants,0.83,24280.0,109790,1.88,3.0,2.88
53-6041,Traffic Technicians,0.9,48650.0,6410,3.0,2.25,3.5
53-6051,Transportation Inspectors,0.9,72650.0,27430,2.5433333333333334,2.21,3.4599999999999995
53-6061,Transportation Attendants; Except Flight Attendants,0.75,31080.0,18410,2.0,2.0,3.38
53-7011,Conveyor Operators and Tenders,0.93,33870.0,28590,2.12,3.12,2.88
53-7021,Crane and Tower Operators,0.9,55280.0,45020,2.12,3.12,3.0
53-7031,Dredge Operators,0.92,46530.0,1760,1.75,2.88,2.75
53-7041,Hoist and Winch Operators,0.65,50020.0,2960,2.13,2.75,2.62
53-7051,Industrial Truck and Tractor Operators,0.93,34260.0,542750,1.62,3.0,2.25
53-7061,Cleaners of Vehicles and Equipment,0.37,24660.0,348770,0.75,3.0,2.0
53-7062,Laborers and Freight; Stock; and Material Movers; Hand,0.85,28720.0,2587900,1.94,3.19,2.375
53-7063,Machine Feeders and Offbearers,0.93,30490.0,88070,1.75,3.0,2.62
53-7064,Packers and Packagers; Hand,0.38,24430.0,705660,0.62,3.12,2.0
53-7071,Gas Compressor and Gas Pumping Station Operators,0.91,59620.0,3890,2.12,3.12,3.0
53-7072,Pump Operators; Except Wellhead Pumpers,0.9,46270.0,12030,2.0,3.12,3.12
53-7073,Wellhead Pumpers,0.84,50730.0,11610,1.75,3.0,3.0
53-7081,Refuse and Recyclable Material Collectors,0.93,37690.0,114680,1.0,2.62,2.62
53-7121,Tank Car; Truck; and Ship Loaders,0.72,39590.0,10920,2.12,3.12,2.88
